epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,7364.01,1.09495,0.70517,1.073,0.84513,0.77698,0.82142,0.5125,1.28648,0.77915,1.19335,0.000138736,0.000138736,0.000138736
82,7455.45,1.08376,0.69417,1.06835,0.84541,0.79343,0.8258,0.51599,1.28698,0.76983,1.18858,0.000132133,0.000132133,0.000132133
83,7547.04,1.08302,0.6924,1.06746,0.87217,0.76323,0.82891,0.5141,1.2897,0.77303,1.18902,0.000125529,0.000125529,0.000125529
84,7638.64,1.08309,0.69956,1.06756,0.8592,0.77124,0.82659,0.51102,1.29042,0.77599,1.18843,0.000118926,0.000118926,0.000118926
85,7730.19,1.07672,0.69174,1.06593,0.87016,0.7672,0.82299,0.51249,1.29506,0.78002,1.19419,0.000112323,0.000112323,0.000112323
86,7821.38,1.07584,0.69411,1.06465,0.8721,0.76339,0.82159,0.51186,1.29095,0.77584,1.19291,0.00010572,0.00010572,0.00010572
87,7912.89,1.07634,0.68553,1.06202,0.86496,0.76279,0.82378,0.51118,1.28873,0.77159,1.18939,9.91162e-05,9.91162e-05,9.91162e-05
88,8004.1,1.07006,0.68782,1.06248,0.86991,0.77154,0.82326,0.51024,1.28911,0.77404,1.18828,9.25129e-05,9.25129e-05,9.25129e-05
89,8094.89,1.06841,0.68444,1.06183,0.84126,0.79288,0.82438,0.50861,1.28553,0.77076,1.18718,8.59096e-05,8.59096e-05,8.59096e-05
90,8185.85,1.06907,0.68362,1.062,0.85248,0.78603,0.82498,0.51166,1.29113,0.77293,1.19087,7.93063e-05,7.93063e-05,7.93063e-05
